Name;CategoryDSK;Agriculture;iLUC;FoodProcessing;Packaging;Transport;Retail;CO2;CategoryGPC
Pizza dough;Bread/bakery products;0,31;0,02;0,05;0,26;0,09;0,00;0,72;Bread/bakery products
Fresh pasta, fettucine spinach;Prepared/preserved foods;0,44;0,05;0,22;0,23;0,14;0,00;1,08;Prepared/preserved foods
Tuna salad;Seasonings/preservatives/extracts;0,07;0,42;3,64;0,24;0,12;0,00;4,50;Seasonings/preservatives/extracts
Egg salad;Prepared/preserved foods;0,36;0,17;0,62;0,24;0,11;0,00;1,51;Prepared/preserved foods
Meatballs;Meat/poultry;1,97;0,35;0,28;0,26;0,11;0,03;3,00;Meat/poultry/other animals
Hummus, done;Seasonings/preservatives/extracts;0,53;0,29;0,16;0,24;0,28;0,00;1,50;Seasonings/preservatives/extracts
Lasagne, vegan, ready meals;Prepared/preserved foods;0,30;0,09;0,31;0,64;0,24;0,00;1,59;Prepared/preserved foods
Pancakes, ready meals;Prepared/preserved foods;0,75;0,16;0,50;0,67;0,13;0,01;2,21;Prepared/preserved foods
Potato gratin / cream potatoes;Fruit/vegetable products;0,30;0,06;0,36;0,26;0,13;0,00;1,10;Fruits/vegetables/nuts/seeds prepared/processed
Kebab;Meat/poultry;31,38;6,09;-1,36;0,26;0,10;0,03;36,49;Meat/poultry/other animals
Icetea, peach;Beverages;0,20;0,02;0,37;0,13;0,08;0,01;0,82;Beverages
Energy drink;Beverages;0,14;0,00;0,17;0,16;0,06;0,01;0,53;Beverages
Alcoholic soda, 4%;Beverages;0,25;0,00;0,21;0,19;0,07;0,01;0,72;Beverages
Salsa, hot;Fruit/vegetable products;0,13;0,02;0,28;0,64;0,51;0,01;1,59;Fruits/vegetables/nuts/seeds prepared/processed
Tortilla bread, wheat;Bread/bakery products;0,38;0,04;0,16;0,04;0,10;0,01;0,74;Bread/bakery products
Pizzasauce;Fruit/vegetable products;0,24;0,04;1,16;0,78;0,11;0,01;2,33;Fruits/vegetables/nuts/seeds prepared/processed
Pastasauce;Fruit/vegetable products;0,24;0,04;1,16;0,78;0,11;0,01;2,33;Fruits/vegetables/nuts/seeds prepared/processed
Coconut milk;Fruit/vegetable products;1,89;0,73;0,24;0,22;0,40;0,01;3,50;Fruits/vegetables/nuts/seeds prepared/processed
Garlic baguette, frozen;Prepared/preserved foods;0,33;0,09;0,59;0,04;0,10;0,03;1,18;Prepared/preserved foods
Muesli bar, chocolate;Cereal/grain/pulse products;0,85;0,20;0,91;0,58;0,11;0,01;2,65;Cereal/grain/pulse products
Cup noodles chicken;Prepared/preserved foods;0,53;0,05;0,91;0,26;0,11;0,01;1,87;Prepared/preserved foods
Sliced mushrooms;Fruit/vegetable products;0,02;0,01;0,00;0,14;0,24;0,00;0,41;Fruits/vegetables/nuts/seeds prepared/processed
Microwave popcorn;Fruit/vegetable products;0,16;0,15;0,94;0,26;0,10;0,01;1,62;Fruits/vegetables/nuts/seeds prepared/processed
Thai meal panang curry chicken;Prepared/preserved foods;0,96;0,36;0,18;0,64;0,18;0,00;2,33;Prepared/preserved foods
French fries, frost;Fruit/vegetable products;0,39;0,03;0,02;0,06;0,12;0,03;0,65;Fruits/vegetables/nuts/seeds prepared/processed
Pancake puffs;Bread/bakery products;0,84;0,07;-0,01;0,26;0,14;0,01;1,32;Bread/bakery products
Chickpeas, canned;Fruit/vegetable products;0,20;0,12;0,14;0,22;0,18;0,01;0,88;Fruits/vegetables/nuts/seeds prepared/processed
Green beans, frost;Vegetables;0,62;0,13;0,03;0,06;0,55;0,03;1,42;Vegetables
Tortilla chips, cheese;Prepared/preserved foods;0,34;0,07;1,10;0,26;0,11;0,01;1,90;Prepared/preserved foods
Asparagus slices;Fruit/vegetable products;0,34;0,12;0,28;0,22;0,49;0,01;1,46;Fruits/vegetables/nuts/seeds prepared/processed
Corn cob;Vegetables;0,21;0,07;0,00;0,14;0,05;0,01;0,49;Vegetables
Arugula salad, rinsed;Prepared/preserved foods;0,13;0,03;0,00;0,26;0,05;0,00;0,48;Prepared/preserved foods
Olive tapenade;Fruit/vegetable products;0,63;0,33;1,23;0,64;0,29;0,01;3,12;Fruits/vegetables/nuts/seeds prepared/processed
Stuffed fresh pasta;Prepared/preserved foods;0,76;0,11;0,93;0,23;0,11;0,00;2,14;Prepared/preserved foods
Pepperoni;Meat/poultry;2,68;0,60;1,60;0,02;0,15;0,01;5,06;Meat/poultry/other animals
Kidney beans;Fruit/vegetable products;0,14;0,05;0,47;0,22;0,15;0,01;1,05;Fruits/vegetables/nuts/seeds prepared/processed
Chicken, whole;Meat/poultry;1,60;0,43;-0,06;0,14;0,11;0,00;2,22;Meat/poultry/other animals
Chorizo, sliced;Meat/poultry;2,68;0,59;1,56;0,02;1,21;0,00;6,07;Meat/poultry/other animals
Potato salad;Fruit/vegetable products;0,20;0,08;0,54;0,24;0,12;0,00;1,18;Fruits/vegetables/nuts/seeds prepared/processed
Cider 4.5%;Beverages;0,28;0,01;0,53;0,19;0,08;0,01;1,10;Beverages
Falafel, frost;Fruit/vegetable products;0,36;0,20;0,26;0,64;0,24;0,03;1,72;Fruits/vegetables/nuts/seeds prepared/processed
Potato hotchpotch, beef, ready meals;Prepared/preserved foods;10,42;2,04;0,37;0,26;0,08;0,03;13,21;Prepared/preserved foods
Potato hotchpotch, mixed meat, ready meals;Prepared/preserved foods;6,09;1,23;1,70;0,26;0,11;0,03;9,42;Prepared/preserved foods
Vegetable steaks;Fruit/vegetable products;0,34;0,10;0,33;0,24;0,21;0,03;1,25;Fruits/vegetables/nuts/seeds prepared/processed
Spring rolls, vegetables, ready meals;Prepared/preserved foods;0,22;0,11;0,90;0,64;0,11;0,00;1,99;Prepared/preserved foods
Spring rolls, chicken, ready meals;Prepared/preserved foods;0,47;0,15;0,85;0,64;0,11;0,03;2,24;Prepared/preserved foods
Spring rolls, beef, ready meals;Prepared/preserved foods;2,16;0,45;0,73;0,64;0,12;0,03;4,14;Prepared/preserved foods
Meatballs in curry with rice and curry sauce, ready meals;Prepared/preserved foods;0,59;0,18;0,35;0,64;0,14;0,03;1,94;Prepared/preserved foods
Leek pie with bacon, ready meals;Prepared/preserved foods;0,56;0,13;0,43;0,21;0,11;0,03;1,46;Prepared/preserved foods
Croque monsieur, ready meals;Prepared/preserved foods;1,31;0,13;0,06;0,26;0,11;0,00;1,87;Prepared/preserved foods
Capers;Fruit/vegetable products;0,12;0,04;0,20;0,22;0,79;0,01;1,39;Fruits/vegetables/nuts/seeds prepared/processed
Baby corn;Fruit/vegetable products;0,05;0,03;0,14;0,32;0,07;0,01;0,61;Fruits/vegetables/nuts/seeds prepared/processed
Black beans;Fruit/vegetable products;0,14;0,05;0,47;0,22;0,15;0,01;1,05;Fruits/vegetables/nuts/seeds prepared/processed
Half peaches in juice;Fruit/vegetable products;0,21;0,04;0,46;0,22;0,75;0,01;1,70;Fruits/vegetables/nuts/seeds prepared/processed
Marinated artichokes;Fruit/vegetable products;0,84;0,31;0,93;0,64;0,65;0,01;3,38;Fruits/vegetables/nuts/seeds prepared/processed
Cornichons;Fruit/vegetable products;0,26;0,01;0,45;0,64;0,20;0,01;1,58;Fruits/vegetables/nuts/seeds prepared/processed
Garlic in oil;Fruit/vegetable products;0,42;0,28;0,87;0,64;0,58;0,01;2,79;Fruits/vegetables/nuts/seeds prepared/processed
Half pears in juice;Fruit/vegetable products;0,20;0,03;0,45;0,22;0,12;0,01;1,04;Fruits/vegetables/nuts/seeds prepared/processed
Marinated grilled peppers;Fruit/vegetable products;0,22;0,37;1,20;0,64;0,46;0,01;2,89;Fruits/vegetables/nuts/seeds prepared/processed
Tahin, sesame paste;Seasonings/preservatives/extracts;1,57;1,11;0,64;0,64;0,11;0,01;4,08;Seasonings/preservatives/extracts
Sundried tomatoes;Fruit/vegetable products;0,91;0,09;0,00;0,26;0,68;0,01;1,95;Fruits/vegetables/nuts/seeds prepared/processed
Red lentils, dried;Fruit/vegetable products;0,85;0,33;0,00;0,20;0,39;0,01;1,78;Fruits/vegetables/nuts/seeds prepared/processed
Ajvar, relish;Seasonings/preservatives/extracts;0,55;0,15;0,33;0,64;0,81;0,01;2,49;Seasonings/preservatives/extracts
Vegan bean paste;Fruit/vegetable products;0,41;0,15;0,17;0,64;0,33;0,01;1,72;Fruits/vegetables/nuts/seeds prepared/processed
Plant paste, pea protein and mushroom;Fruit/vegetable products;0,17;0,08;0,03;0,24;0,26;0,00;0,78;Fruits/vegetables/nuts/seeds prepared/processed
Chilli cheese tops;Prepared/preserved foods;1,32;0,10;0,04;0,24;0,15;0,03;1,87;Prepared/preserved foods
Mozarella sticks;Prepared/preserved foods;2,67;0,15;-0,37;0,35;0,11;0,00;2,92;Prepared/preserved foods
Chili con carne, ready meals;Prepared/preserved foods;16,96;3,31;-0,66;1,18;0,27;0,00;21,07;Prepared/preserved foods
Vegan balls, soy based;Prepared/preserved foods;0,02;0,20;0,28;0,26;0,07;0,03;0,86;Prepared/preserved foods
Vegan schnitzels, soy based;Prepared/preserved foods;0,10;0,23;1,09;0,26;0,07;0,03;1,78;Prepared/preserved foods
Vegan burgers, soy based;Prepared/preserved foods;0,04;0,19;0,26;0,26;0,07;0,03;0,85;Prepared/preserved foods
Vegan minced, pea based;Prepared/preserved foods;0,15;0,15;0,09;0,14;0,07;0,00;0,61;Prepared/preserved foods
Vegan sausages, soy based;Prepared/preserved foods;0,03;0,20;1,04;0,26;0,07;0,03;1,63;Prepared/preserved foods
Vegan nuggets, soy based;Prepared/preserved foods;0,11;0,25;0,95;0,64;0,08;0,03;2,05;Prepared/preserved foods
Vegan pulled beans;Prepared/preserved foods;0,01;0,35;1,09;0,64;0,08;0,03;2,21;Prepared/preserved foods
Pulled pork;Meat/poultry;2,30;0,45;0,18;0,64;0,10;0,00;3,68;Meat/poultry/other animals
Pulled beef;Meat/poultry;32,55;6,35;-1,42;0,64;0,10;0,00;38,22;Meat/poultry/other animals
Vegan chorizo;Prepared/preserved foods;0,04;0,26;0,81;0,64;0,07;0,03;1,84;Prepared/preserved foods
Rice noodles;Prepared/preserved foods;0,40;0,16;0,50;0,23;0,11;0,01;1,41;Prepared/preserved foods
Jalapenos;Fruit/vegetable products;0,47;0,03;0,21;0,22;0,60;0,01;1,54;Fruits/vegetables/nuts/seeds prepared/processed
Taco shells;Prepared/preserved foods;0,28;0,07;1,09;0,26;0,11;0,01;1,81;Prepared/preserved foods
Mango chutney;Seasonings/preservatives/extracts;0,87;0,04;0,71;0,64;0,62;0,01;2,90;Seasonings/preservatives/extracts
Green curry paste;Seasonings/preservatives/extracts;0,27;0,06;0,53;0,78;0,31;0,01;1,97;Seasonings/preservatives/extracts
Noodles, eggs;Prepared/preserved foods;0,52;0,05;0,23;0,23;0,11;0,01;1,15;Prepared/preserved foods
Rice pancakes;Cereal/grain/pulse products;0,33;0,15;0,58;0,67;0,10;0,01;1,84;Cereal/grain/pulse products
Vegan ice cream, oats;Prepared/preserved foods;0,42;0,21;0,25;0,51;0,11;0,03;1,53;Prepared/preserved foods
Vegan mayo;Seasonings/preservatives/extracts;0,08;0,29;1,96;0,64;0,09;0,01;3,07;Seasonings/preservatives/extracts
Mushroom burger;Prepared/preserved foods;0,05;0,24;0,45;0,64;0,08;0,00;1,47;Prepared/preserved foods
Vegan cold cuts;Fruit/vegetable products;1,19;0,37;0,61;0,02;0,14;0,00;2,34;Fruits/vegetables/nuts/seeds prepared/processed
Vegan block;Milk/eggs/substitute products;0,00;0,13;0,55;0,24;0,05;0,00;0,97;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Magarine;Oils/fats edible;0,00;0,32;2,31;0,24;0,05;0,00;2,93;Oils/fats edible
Vegan bacon;Prepared/preserved foods;0,03;0,25;-0,24;0,14;0,06;0,00;0,25;Prepared/preserved foods
Vegan fillet pieces;Prepared/preserved foods;0,01;0,30;1,00;0,64;0,07;0,03;2,04;Prepared/preserved foods
Falafel mince;Prepared/preserved foods;0,36;0,20;0,24;0,64;0,24;0,00;1,68;Prepared/preserved foods
Pea drink;Milk/eggs/substitute products;0,06;0,03;0,23;0,10;0,06;0,01;0,48;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Portobello mushroom;Vegetables;0,01;0,01;0,00;0,14;0,19;0,01;0,36;Vegetables
Food grain, kamut;Cereal/grain/pulse products;0,58;0,08;0,16;0,20;0,12;0,01;1,15;Cereal/grain/pulse products
Chili Sauce;Seasonings/preservatives/extracts;0,48;0,00;0,38;0,64;0,31;0,01;1,82;Seasonings/preservatives/extracts
Red onion;Vegetables;0,18;0,04;0,00;0,06;0,60;0,01;0,90;Vegetables
Basil, fresh;Vegetables;0,13;0,03;0,00;0,06;0,05;0,01;0,30;Vegetables
Basil, dried;Seasonings/preservatives/extracts;0,91;0,13;0,00;2,72;0,68;0,01;4,44;Seasonings/preservatives/extracts
Cold buttermilk soup;Milk/eggs/substitute products;0,58;0,04;0,09;0,13;0,11;0,01;0,97;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Beef, low fat ;Meat/poultry;31,94;6,05;-2,40;0,14;0,13;0,00;35,86;Meat/poultry/other animals
Grilled sausages;Meat/poultry;1,14;0,20;0,37;0,02;0,09;0,00;1,81;Meat/poultry/other animals
Apple juice;Beverages;0,32;0,02;0,61;0,31;0,37;0,01;1,64;Beverages
Minced lamb;Meat/poultry;24,01;6,26;-4,22;0,14;0,11;0,00;26,30;Meat/poultry/other animals
Burger buns;Bread/bakery products;0,38;0,04;0,16;0,04;0,10;0,01;0,74;Bread/bakery products
Blue cheese;Milk/eggs/substitute products;2,67;0,15;-0,37;0,35;0,11;0,00;2,92;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Goat cheese;Milk/eggs/substitute products;2,67;0,15;-0,37;0,35;0,11;0,00;2,92;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Vegan cheese, grated or sliced;Milk/eggs/substitute products;0,07;0,12;0,39;0,35;0,07;0,01;1,00;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Samosa, vegetarian frost;Prepared/preserved foods;0,29;0,09;0,40;0,24;0,13;0,03;1,17;Prepared/preserved foods
Cold chocolate;Candy/sugar products;1,83;0,34;2,52;0,38;0,11;0,01;5,18;Confectionery/sugar sweetening products
Nutella, nut cream;Candy/sugar products;1,68;0,44;1,32;0,42;0,10;0,01;3,97;Confectionery/sugar sweetening products
Smoothie, strawberry blueberry;Beverages;0,40;0,07;0,10;0,31;1,29;0,00;2,16;Beverages
Beet, red, raw;Vegetables;0,17;0,01;0,00;0,06;0,05;0,01;0,31;Vegetables
