Name;CategoryDSK;Agriculture;iLUC;FoodProcessing;Packaging;Transport;Retail;CO2;CategoryGPC
Potato, raw;Vegetables;0,20;0,02;0,00;0,06;0,07;0,01;0,36;Vegetables
Carrot, raw;Vegetables;0,11;0,02;0,00;0,06;0,05;0,01;0,25;Vegetables
Radish, raw;Vegetables;0,13;0,03;0,00;0,14;0,05;0,01;0,37;Vegetables
Celeriac, celery root, raw;Vegetables;0,13;0,03;0,00;0,06;0,05;0,01;0,30;Vegetables
Ginger root, raw;Vegetables;0,97;0,05;0,00;0,14;0,69;0,01;1,85;Vegetables
Fennel, root, raw;Vegetables;3,30;0,95;0,00;0,14;0,05;0,01;4,46;Vegetables
Turnip, raw;Vegetables;0,11;0,02;0,00;0,06;0,05;0,01;0,25;Vegetables
Onions, chopped, frozen;Fruit/vegetable products;0,13;0,02;0,02;0,06;0,11;0,03;0,37;Fruits/vegetables/nuts/seeds prepared/processed
Carrot, frozen;Fruit/vegetable products;0,13;0,02;0,02;0,06;0,11;0,03;0,37;Fruits/vegetables/nuts/seeds prepared/processed
Onion, raw;Vegetables;0,18;0,04;0,00;0,06;0,60;0,01;0,90;Vegetables
Onions, spring, raw;Vegetables;0,18;0,04;0,00;0,06;0,60;0,01;0,90;Vegetables
Cassava, raw;Vegetables;0,11;0,05;0,00;0,06;0,51;0,01;0,74;Vegetables
Parsley root, raw;Vegetables;0,23;0,07;0,00;0,06;0,52;0,01;0,89;Vegetables
Cheese, semihard, Feta, 40 % fidm;Milk/eggs/substitute products;2,67;0,15;-0,37;0,35;0,11;0,00;2,92;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Cheese, Danish Blue, 50 % fidm.;Milk/eggs/substitute products;4,46;0,46;2,33;0,35;0,12;0,00;7,72;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Lamb, leg, unspecified , raw;Meat/poultry;25,35;6,58;-5,12;0,14;0,48;0,00;27,43;Meat/poultry/other animals
Lamb, meat, average values, raw;Meat/poultry;25,35;6,58;-5,12;0,14;0,48;0,00;27,43;Meat/poultry/other animals
Crayfish, raw;Seafood;0,00;0,69;1,94;0,26;0,66;0,00;3,55;Seafood
Shrimps, boiled, shell removed;Seafood;0,00;1,94;8,10;0,26;0,22;0,00;10,52;Seafood
Lobster, raw;Seafood;0,00;0,69;1,94;0,26;0,66;0,00;3,55;Seafood
Crab, boiled;Seafood;0,00;0,75;5,01;0,08;0,05;0,00;5,90;Seafood
Prawn, giant tiger, aquaculture, boiled, frozen;Seafood;0,00;1,72;10,42;0,08;0,19;0,03;12,43;Seafood
Shrimp, boiled, in brine;Seafood;0,00;1,94;8,10;0,26;0,22;0,00;10,52;Seafood
Pop corn, oil and salt added, traditional;Prepared/preserved foods;0,18;0,12;0,57;0,26;0,11;0,01;1,25;Prepared/preserved foods
Peanuts, oilroasted and salted;Fruit/vegetable products;0,47;0,41;1,24;0,26;0,11;0,01;2,50;Fruits/vegetables/nuts/seeds prepared/processed
Strawberry, raw;Fruits;0,15;0,06;0,00;0,14;0,20;0,01;0,56;Fruits - unprepared/unprocessed (fresh)
Raspberry, raw;Fruits;0,27;0,11;0,00;0,14;0,31;0,01;0,84;Fruits - unprepared/unprocessed (fresh)
Currant, black, raw;Fruits;0,25;0,08;0,00;0,14;0,05;0,01;0,53;Fruits - unprepared/unprocessed (fresh)
